route_id;agency_id;route_short_name;number_stops;number_building_sites
62172;326;26E;21;0
59936;326;3E;13;0
49430;326;5S;3;0
49429;326;5;12;0
46570;326;2E;18;1
36865;326;27E;11;0
35761;326;1;44;0
35760;326;2;29;1
35759;326;3;29;0
35758;326;4;49;0
35757;326;6;25;0
35756;326;8;22;0
35755;326;10;33;1
35754;326;1E;32;0
35753;326;2E;11;1
35752;326;6E;17;0
35751;326;1E;35;0
35750;326;E;4;0
35749;326;E;4;0
35748;326;6E;18;0
35747;326;N1;44;0
35746;326;N4;49;0
35745;326;N10;33;1
35744;326;1E;37;0
35743;326;2E;11;1
35741;326;4E;5;0
35739;326;8E;;0
35738;326;10E;21;1
35737;326;1S;13;0
35735;326;20;14;0
35734;326;21;25;2
35733;326;22;26;1
35732;326;24;32;0
35731;326;25;39;1
35730;326;26;53;0
35729;326;27;34;0
35728;326;28;26;0
35727;326;29;11;0
35726;326;31;30;0
35725;326;33;25;0
35724;326;34;23;0
35723;326;37;16;0
35722;326;38;14;0
35721;326;39;6;0
35720;326;40;17;1
35719;326;41;19;1
35718;326;42;18;1
35717;326;44;16;0
35715;326;52;16;0
35713;326;55;21;1
35712;326;57;15;2
35711;326;58;15;2
35710;326;61;15;0
35709;326;62;19;0
35708;326;63;23;0
35707;326;65;22;0
35706;326;66;22;0
35705;326;80;17;0
35704;326;81;15;0
35703;326;82;11;0
35701;326;90;58;1
35700;326;91;38;1
35699;326;92;23;2
35698;326;93;19;0
35697;326;94;48;2
35696;326;95;40;0
35695;326;96;19;0
35693;326;98;17;0
35690;326;1E;;0
35689;326;4E;;0
35688;326;N3;62;1
35687;326;N5;41;0
35686;326;N6;15;2
35685;326;N7;80;2
35684;326;N9;55;1
35683;326;41S;2;0
35682;326;N94;16;0
35680;326;21E;14;
35679;326;22E;8;
35678;326;24E;30;
35677;326;33E;14;
35676;326;34E;14;
35675;326;37E;12;
35674;326;41E;21;
35673;326;90E;32;
